,center,gridID,num_establishments,num_liquor_stores,num_restaurants,num_stores,num_bars
333,"[40.62008618213958, -73.86234518567869]",38444,0,0,0,0,0
334,"[40.61864883683044, -73.86423879331493]",38216,0,0,0,0,0
335,"[40.62008618213958, -73.86613240095116]",37986,0,0,0,0,0
336,"[40.61864883683044, -73.86613240095116]",37987,0,0,0,0,0
337,"[40.61721146059494, -73.86613240095116]",37988,0,0,0,0,0
338,"[40.615774053433384, -73.86613240095116]",37989,0,0,0,0,0
339,"[40.615774053433384, -73.86423879331493]",38218,0,0,0,0,0
340,"[40.61433661534597, -73.86423879331493]",38219,0,0,0,0,0
341,"[40.61433661534597, -73.86613240095116]",37990,0,0,0,0,0
342,"[40.61289914633295, -73.86613240095116]",37991,0,0,0,0,0
343,"[40.61146164639455, -73.86423879331493]",38221,0,0,0,0,0
344,"[40.61289914633295, -73.86423879331493]",38220,0,0,0,0,0
345,"[40.61289914633295, -73.86234518567869]",38449,0,0,0,0,0
346,"[40.61146164639455, -73.86234518567869]",38450,0,0,0,0,0
347,"[40.61002411553103, -73.86234518567869]",38451,0,0,0,0,0
348,"[40.608586553742605, -73.86234518567869]",38452,0,0,0,0,0
349,"[40.61002411553103, -73.86423879331493]",38222,0,0,0,0,0
350,"[40.61146164639455, -73.86613240095116]",37992,0,0,0,0,0
351,"[40.61002411553103, -73.86613240095116]",37993,0,0,0,0,0
352,"[40.608586553742605, -73.86613240095116]",37994,0,0,0,0,0
353,"[40.608586553742605, -73.86423879331493]",38223,0,0,0,0,0
354,"[40.60714896102953, -73.86423879331493]",38224,0,0,0,0,0
355,"[40.60714896102953, -73.86234518567869]",38453,0,0,0,0,0
356,"[40.60714896102953, -73.86613240095116]",37995,0,0,0,0,0
357,"[40.60571133739206, -73.86613240095116]",37996,0,0,0,0,0
358,"[40.60427368283041, -73.86613240095116]",37997,0,0,0,0,0
359,"[40.60427368283041, -73.86423879331493]",38226,0,0,0,0,0
360,"[40.60571133739206, -73.86423879331493]",38225,0,0,0,0,0
361,"[40.60571133739206, -73.86234518567869]",38454,0,0,0,0,0
362,"[40.60427368283041, -73.86234518567869]",38455,0,0,0,0,0
363,"[40.60714896102953, -73.86045157804247]",38682,0,0,0,0,0
364,"[40.60427368283041, -73.86045157804247]",38684,0,0,0,0,0
365,"[40.60571133739206, -73.86045157804247]",38683,0,0,0,0,0
366,"[40.60571133739206, -73.85855797040624]",38912,0,0,0,0,0
367,"[40.60714896102953, -73.85855797040624]",38911,0,0,0,0,0
368,"[40.60714896102953, -73.85666436277]",39140,0,0,0,0,0
369,"[40.60571133739206, -73.85666436277]",39141,0,0,0,0,0
370,"[40.60714896102953, -73.8547707551338]",39369,0,0,0,0,0
371,"[40.60571133739206, -73.8547707551338]",39370,0,0,0,0,0
372,"[40.60427368283041, -73.85666436277]",39142,0,0,0,0,0
373,"[40.60427368283041, -73.8547707551338]",39371,0,0,0,0,0
374,"[40.602835997344826, -73.8547707551338]",39372,0,0,0,0,0
375,"[40.602835997344826, -73.85666436277]",39143,0,0,0,0,0
376,"[40.60427368283041, -73.85855797040624]",38913,0,0,0,0,0
377,"[40.602835997344826, -73.86045157804247]",38685,0,0,0,0,0
378,"[40.60139828093555, -73.86045157804247]",38686,0,0,0,0,0
379,"[40.60139828093555, -73.85855797040624]",38915,0,0,0,0,0
380,"[40.602835997344826, -73.85855797040624]",38914,0,0,0,0,0
381,"[40.60139828093555, -73.85666436277]",39144,0,0,0,0,0
382,"[40.60139828093555, -73.8547707551338]",39373,0,0,0,0,0
383,"[40.599960533602825, -73.85666436277]",39145,0,0,0,0,0
384,"[40.599960533602825, -73.8547707551338]",39374,0,0,0,0,0
385,"[40.599960533602825, -73.85855797040624]",38916,0,0,0,0,0
386,"[40.60139828093555, -73.86234518567869]",38457,0,0,0,0,0
387,"[40.602835997344826, -73.86234518567869]",38456,0,0,0,0,0
388,"[40.60139828093555, -73.86423879331493]",38228,0,0,0,0,0
389,"[40.602835997344826, -73.86423879331493]",38227,0,0,0,0,0
390,"[40.602835997344826, -73.86613240095116]",37998,0,0,0,0,0
391,"[40.60139828093555, -73.86613240095116]",37999,0,0,0,0,0
392,"[40.60139828093555, -73.86802600858738]",37770,0,0,0,0,0
393,"[40.599960533602825, -73.86802600858738]",37771,0,0,0,0,0
